,high,low,lambda_start,lambda_end,frequency_factor,total
005,16950000,1695000,1.0,2,3.589258715683613e-05,4593195.0
005-009,855000,85500,1.1,4,0.0010724446618964902,97548.0
010-050,146100,14610,1.2,8,0.0011370844213401897,43131.0
050-100,8700,870,1.4,16,0.0031608030752049033,6317.0
100+,3050,305,1.8,32,0.005034489223355299,1604.0
