,high,low,lambda_start,lambda_end,frequency_factor,total
005,16950000,1695000,1.0,2,1.5882691014990388e-05,10377377.0
005-009,855000,85500,1.1,4,0.00044785552747960496,233580.0
010-050,146100,14610,1.2,8,0.0009627271680157792,50068.0
050-100,8700,870,1.4,16,0.003116429594239039,6535.0
100+,3050,305,1.8,32,0.020071229327233642,362.0
