,high,low,lambda_start,lambda_end,frequency_factor,total
005,16950000,1695000,1.0,2,3.1931819456863006e-05,5160149.0
005-009,855000,85500,1.1,4,0.000494272873785212,211401.0
010-050,146100,14610,1.2,8,0.0005889535967155783,81966.0
050-100,8700,870,1.4,16,0.0027583299473927917,7451.0
100+,3050,305,1.8,32,0.002666533450702001,3047.0
