,high,low,lambda_start,lambda_end,frequency_factor,total
005,16950000,1695000,1.0,2,9.345492544943913e-05,1762759.0
005-009,855000,85500,1.1,4,0.00012464699849152672,840543.0
010-050,146100,14610,1.2,8,0.0027906191231296252,17352.0
050-100,8700,870,1.4,16,0.017617882086962067,1186.0
100+,3050,305,1.8,32,0.013661875282783972,564.0
