,high,low,lambda_start,lambda_end,frequency_factor,total
005,16950000,1695000,1.0,2,4.5963010383854204e-05,3584673.0
005-009,855000,85500,1.1,4,0.0010547972288267333,99035.0
010-050,146100,14610,1.2,8,0.0004602850932023663,105252.0
050-100,8700,870,1.4,16,0.006911978461617178,2838.0
100+,3050,305,1.8,32,0.016116515460390352,469.0
