,high,low,lambda_start,lambda_end,frequency_factor,total
005,16950000,1695000,1.0,2,8.52950844751313e-05,1933052.0
005-009,855000,85500,1.1,4,0.00014095242483810772,742493.0
010-050,146100,14610,1.2,8,0.0028558189792516056,17040.0
050-100,8700,870,1.4,16,0.0026895045671627153,7671.0
100+,3050,305,1.8,32,0.014348291236468327,555.0
