,high,low,lambda_start,lambda_end,frequency_factor,total
005,16950000,1695000,1.0,2,9.141938288618981e-05,1801734.0
005-009,855000,85500,1.1,4,0.0007116921411082922,146621.0
010-050,146100,14610,1.2,8,0.0032436108627545528,15011.0
050-100,8700,870,1.4,16,0.0025215149662214955,8099.0
100+,3050,305,1.8,32,0.0030495614198653735,2583.0
