,high,low,lambda_start,lambda_end,frequency_factor,total
005,16950000,1695000,1.0,2,8.664021008259779e-05,1901024.0
005-009,855000,85500,1.1,4,0.0006448159787397063,161958.0
010-050,146100,14610,1.2,8,0.0010624888903300088,45554.0
050-100,8700,870,1.4,16,0.01003730810313405,2061.0
100+,3050,305,1.8,32,0.008480063658063029,924.0
